RBB 6: chip_tile_x=0, chip_tile_y=0, chip_x=13, chip_y=24
RBB 7: chip_tile_x=0, chip_tile_y=0, chip_x=16, chip_y=24
RBB 8: chip_tile_x=0, chip_tile_y=0, chip_x=19, chip_y=24
RBB 9: chip_tile_x=0, chip_tile_y=0, chip_x=22, chip_y=24
RBB 10: chip_tile_x=0, chip_tile_y=0, chip_x=25, chip_y=24
RBB 11: chip_tile_x=0, chip_tile_y=0, chip_x=28, chip_y=24
RBB 33: chip_tile_x=0, chip_tile_y=0, chip_x=16, chip_y=20
RBB 34: chip_tile_x=0, chip_tile_y=0, chip_x=19, chip_y=20
RBB 35: chip_tile_x=0, chip_tile_y=0, chip_x=22, chip_y=20
RBB 36: chip_tile_x=0, chip_tile_y=0, chip_x=25, chip_y=20
RBB 37: chip_tile_x=0, chip_tile_y=0, chip_x=28, chip_y=20
RBB 38: chip_tile_x=0, chip_tile_y=0, chip_x=16, chip_y=4
RBB 39: chip_tile_x=0, chip_tile_y=0, chip_x=19, chip_y=4
RBB 40: chip_tile_x=0, chip_tile_y=0, chip_x=22, chip_y=4
RBB 41: chip_tile_x=0, chip_tile_y=0, chip_x=25, chip_y=4
RBB 42: chip_tile_x=0, chip_tile_y=0, chip_x=28, chip_y=4
RBB 19: chip_tile_x=0, chip_tile_y=0, chip_x=13, chip_y=8
RBB 20: chip_tile_x=0, chip_tile_y=0, chip_x=16, chip_y=8
RBB 21: chip_tile_x=0, chip_tile_y=0, chip_x=19, chip_y=8
RBB 22: chip_tile_x=0, chip_tile_y=0, chip_x=22, chip_y=8
RBB 23: chip_tile_x=0, chip_tile_y=0, chip_x=25, chip_y=8
RBB 12: chip_tile_x=0, chip_tile_y=0, chip_x=13, chip_y=22
RBB 13: chip_tile_x=0, chip_tile_y=0, chip_x=16, chip_y=22
RBB 14: chip_tile_x=0, chip_tile_y=0, chip_x=19, chip_y=22
RBB 15: chip_tile_x=0, chip_tile_y=0, chip_x=22, chip_y=22
RBB 16: chip_tile_x=0, chip_tile_y=0, chip_x=25, chip_y=22
RBB 28: chip_tile_x=0, chip_tile_y=0, chip_x=16, chip_y=16
RBB 29: chip_tile_x=0, chip_tile_y=0, chip_x=19, chip_y=16
RBB 30: chip_tile_x=0, chip_tile_y=0, chip_x=22, chip_y=16
RBB 31: chip_tile_x=0, chip_tile_y=0, chip_x=25, chip_y=16
RBB 32: chip_tile_x=0, chip_tile_y=0, chip_x=28, chip_y=16
RBB 43: chip_tile_x=0, chip_tile_y=0, chip_x=19, chip_y=12
RBB 44: chip_tile_x=0, chip_tile_y=0, chip_x=22, chip_y=12
RBB 45: chip_tile_x=0, chip_tile_y=0, chip_x=25, chip_y=12
RBB 46: chip_tile_x=0, chip_tile_y=0, chip_x=28, chip_y=12
RBB 17: chip_tile_x=0, chip_tile_y=0, chip_x=10, chip_y=26
RBB 18: chip_tile_x=0, chip_tile_y=0, chip_x=13, chip_y=26
RBB 24: chip_tile_x=0, chip_tile_y=0, chip_x=7, chip_y=12
RBB 25: chip_tile_x=0, chip_tile_y=0, chip_x=10, chip_y=12
RBB 47: chip_tile_x=0, chip_tile_y=0, chip_x=7, chip_y=6
RBB 48: chip_tile_x=0, chip_tile_y=0, chip_x=10, chip_y=6
RBB 109: chip_tile_x=0, chip_tile_y=0, chip_x=4, chip_y=2
RBB 108: chip_tile_x=0, chip_tile_y=0, chip_x=4, chip_y=12
RBB 115: chip_tile_x=0, chip_tile_y=0, chip_x=1, chip_y=24
