"case","k","logical_clocks","equivalent_50mhz_ms","run1_seconds","run2_seconds","run3_seconds","median_seconds","peak_working_set_bytes","peak_working_set_mib"
"high_conflict","1","500002","10.00004","6.801","6.779","6.824","6.801","57569280","54.9"
"high_conflict","4","500002","10.00004","9.334","9.473","9.837","9.473","65536000","62.5"
"high_conflict","8","500002","10.00004","9.449","9.816","9.784","9.784","65544192","62.51"
"high_conflict","16","500002","10.00004","9.53","9.335","9.203","9.335","65540096","62.5"
"high_conflict","32","500002","10.00004","9.208","9.153","9.159","9.159","65568768","62.53"
"high_conflict","64","500002","10.00004","9.155","9.506","9.448","9.448","65572864","62.54"
"high_conflict","128","500002","10.00004","9.394","9.425","9.744","9.425","65568768","62.53"
"high_conflict","256","500002","10.00004","9.369","9.344","10.336","9.369","65581056","62.54"
"high_conflict","512","500002","10.00004","9.522","9.297","9.325","9.325","65540096","62.5"
"high_parallel","1","500002","10.00004","6.879","6.984","7.23","6.984","57524224","54.86"
"high_parallel","4","125002","2.50004","8.469","8.304","8.465","8.465","65572864","62.54"
"high_parallel","8","62502","1.25004","8.147","8.171","8.019","8.147","65576960","62.54"
"high_parallel","16","31252","0.62504","7.715","8.184","8.378","8.184","65576960","62.54"
"high_parallel","32","15627","0.31254","7.958","7.654","7.809","7.809","65536000","62.5"
"high_parallel","64","7815","0.1563","7.922","7.74","7.756","7.756","65548288","62.51"
"high_parallel","128","3909","0.07818","7.845","8.333","8.009","8.009","65560576","62.52"
"high_parallel","256","1956","0.03912","8.024","7.673","7.664","7.673","65597440","62.56"
"high_parallel","512","979","0.01958","7.726","7.875","7.787","7.787","65691648","62.65"
"random","1","500002","10.00004","7.456","7.419","7.443","7.443","57532416","54.87"
"random","4","125006","2.50012","8.383","8.371","8.293","8.371","65544192","62.51"
"random","8","62508","1.25016","8.285","8.501","8.467","8.467","65576960","62.54"
"random","16","31263","0.62526","8.145","8.189","8.222","8.189","65536000","62.5"
"random","32","15648","0.31296","8.242","8.313","8.583","8.313","65572864","62.54"
"random","64","7854","0.15708","8.398","8.13","8.044","8.13","65556480","62.52"
"random","128","3988","0.07976","8.041","8.292","8.203","8.203","65572864","62.54"
"random","256","2134","0.04268","8.011","8.017","7.986","8.011","65634304","62.59"
"random","512","1328","0.02656","8.241","7.984","8.376","8.241","65662976","62.62"
