"case","implementation","logical_clocks","equivalent_50mhz_ms","query_clocks","issue_cycles","type1_executed","type1_canceled","type2_executed","type2_eliminated","average_issued","issue_efficiency_percent","run1_seconds","run2_seconds","run3_seconds","median_seconds","peak_working_set_bytes","peak_working_set_mib"
"high_parallel","baseline_k1","500002","10.00004","500000","500000","500000","0","0","0","1","0.391","6.997","7.215","7.414","7.215","57544704","54.88"
"high_parallel","fixed_k256","1956","0.03912","1954","1954","500000","0","0","0","255.885","99.955","7.73","7.933","8.07","7.933","65626112","62.59"
"high_parallel","ooo_256_1024_off","1956","0.03912","1954","1954","500000","0","0","0","255.885","99.955","25.651","25.704","26.002","25.704","129757184","123.75"
"high_parallel","ooo_256_1024_on","1956","0.03912","1954","1954","500000","0","0","0","255.885","99.955","46.082","46.285","46.498","46.285","129732608","123.72"
"random","baseline_k1","500002","10.00004","500000","500000","500000","0","0","0","1","0.391","7.306","7.493","7.208","7.306","57511936","54.85"
"random","fixed_k256","2134","0.04268","2132","2132","500000","0","0","0","234.522","91.61","8.234","8.3","8.145","8.234","65601536","62.56"
"random","ooo_256_1024_off","1956","0.03912","1954","1954","500000","0","0","0","255.885","99.955","25.298","25.191","25.612","25.298","129753088","123.74"
"random","ooo_256_1024_on","1956","0.03912","1954","1954","500000","0","0","0","255.885","99.955","46.966","47.778","47.303","47.303","129732608","123.72"
"high_conflict","baseline_k1","500002","10.00004","500000","500000","500000","0","0","0","1","0.391","6.689","6.695","6.621","6.689","57556992","54.89"
"high_conflict","fixed_k256","500002","10.00004","500000","500000","500000","0","0","0","1","0.391","9.683","9.634","9.523","9.634","65556480","62.52"
"high_conflict","ooo_256_1024_off","500002","10.00004","500000","500000","500000","0","0","0","1","0.391","17","16.937","16.843","16.937","129732608","123.72"
"high_conflict","ooo_256_1024_on","2","4E-05","0","0","0","500000","0","0","0","0","9.876","9.817","9.962","9.876","129720320","123.71"
"interleaved_dependency","baseline_k1","500002","10.00004","500000","500000","500000","0","0","0","1","0.391","6.954","7.057","6.95","6.954","57524224","54.86"
"interleaved_dependency","fixed_k256","250003","5.00006","250001","250001","500000","0","0","0","2","0.781","8.893","8.704","9.038","8.893","65572864","62.54"
"interleaved_dependency","ooo_256_1024_off","1956","0.03912","1954","1954","500000","0","0","0","255.885","99.955","24.905","25.274","25.345","25.274","129794048","123.78"
"interleaved_dependency","ooo_256_1024_on","1956","0.03912","1954","1954","500000","0","0","0","255.885","99.955","44.143","43.948","45.295","44.143","129724416","123.71"
"cancellation_rich","baseline_k1","500002","10.00004","500000","400000","400000","0","100000","0","1","0.391","6.311","6.116","6.049","6.116","57532416","54.87"
"cancellation_rich","fixed_k256","300002","6.00004","300000","200000","400000","0","100000","0","2","0.781","7.465","7.394","7.4","7.4","65572864","62.54"
"cancellation_rich","ooo_256_1024_off","300002","6.00004","300000","200000","400000","0","100000","0","2","0.781","14.516","14.65","14.199","14.516","129724416","123.71"
"cancellation_rich","ooo_256_1024_on","2","4E-05","0","0","0","400000","0","100000","0","0","9.376","9.423","9.483","9.423","129720320","123.71"
"strong_dependency","fixed_k256","500002","10.00004","500000","500000","500000","0","0","0","1","0.391","8.954","9.369","9.03","9.03","65531904","62.5"
"strong_dependency","ooo_256_1024_off","500002","10.00004","500000","500000","500000","0","0","0","1","0.391","16.312","15.978","15.539","15.978","129732608","123.72"
