"case","implementation","logical_clocks","equivalent_50mhz_ns","equivalent_50mhz_ms","query_clocks","issue_cycles","type1_executed","type1_canceled","type2_executed","type2_eliminated","type1_compiled","type2_compiled","final_inverted","average_issued","issue_efficiency_percent","run1_seconds","run2_seconds","run3_seconds","median_seconds","peak_working_set_bytes","peak_working_set_mib"
"high_parallel","permutation_compiler","1","20","2E-05","0","0","0","0","0","0","500000","0","0","0","0","6.107","6.098","6.242","6.107","90177536","86"
"random","permutation_compiler","1","20","2E-05","0","0","0","0","0","0","500000","0","0","0","0","6.404","6.45","6.628","6.45","90181632","86"
"high_conflict","permutation_compiler","1","20","2E-05","0","0","0","0","0","0","500000","0","0","0","0","5.827","5.795","5.863","5.827","90189824","86.01"
"interleaved_dependency","permutation_compiler","1","20","2E-05","0","0","0","0","0","0","500000","0","0","0","0","6.034","6.059","5.942","6.034","90181632","86"
"cancellation_rich","permutation_compiler","1","20","2E-05","0","0","0","0","0","0","400000","100000","0","0","0","5.154","5.406","5.147","5.154","90226688","86.05"
"strong_dependency","permutation_compiler","1","20","2E-05","0","0","0","0","0","0","500000","0","0","0","0","5.441","5.492","5.449","5.449","90193920","86.02"
"high_parallel","baseline_k1","500002","10000040","10.00004","500000","500000","500000","0","0","0","0","0","","1","0.391","6.64","6.772","6.908","6.772","57528320","54.86"
"random","baseline_k1","500002","10000040","10.00004","500000","500000","500000","0","0","0","0","0","","1","0.391","6.93","6.803","6.801","6.803","57565184","54.9"
"high_conflict","baseline_k1","500002","10000040","10.00004","500000","500000","500000","0","0","0","0","0","","1","0.391","6.428","6.393","6.869","6.428","57540608","54.88"
"interleaved_dependency","baseline_k1","500002","10000040","10.00004","500000","500000","500000","0","0","0","0","0","","1","0.391","7.07","6.992","6.877","6.992","57528320","54.86"
"cancellation_rich","baseline_k1","500002","10000040","10.00004","500000","400000","400000","0","100000","0","0","0","","1","0.391","6.133","5.891","5.878","5.891","57556992","54.89"
"strong_dependency","baseline_k1","500002","10000040","10.00004","500000","500000","500000","0","0","0","0","0","","1","0.391","6.133","6.128","6.163","6.133","57561088","54.89"
"high_parallel","fixed_k256","1956","39120","0.03912","1954","1954","500000","0","0","0","0","0","","255.885","99.955","7.457","7.668","7.748","7.668","65630208","62.59"
"random","fixed_k256","2134","42680","0.04268","2132","2132","500000","0","0","0","0","0","","234.522","91.61","8.054","8.042","8.182","8.054","65593344","62.55"
"high_conflict","fixed_k256","500002","10000040","10.00004","500000","500000","500000","0","0","0","0","0","","1","0.391","9.751","9.764","9.187","9.751","65536000","62.5"
"interleaved_dependency","fixed_k256","250003","5000060","5.00006","250001","250001","500000","0","0","0","0","0","","2","0.781","8.548","8.566","8.735","8.566","65531904","62.5"
"cancellation_rich","fixed_k256","300002","6000040","6.00004","300000","200000","400000","0","100000","0","0","0","","2","0.781","7.619","7.443","7.27","7.443","65581056","62.54"
"strong_dependency","fixed_k256","500002","10000040","10.00004","500000","500000","500000","0","0","0","0","0","","1","0.391","8.954","9.369","9.03","9.03","65531904","62.5"
"high_parallel","ooo_256_1024_off","1956","39120","0.03912","1954","1954","500000","0","0","0","0","0","","255.885","99.955","24.966","24.682","25.537","24.966","129765376","123.75"
"random","ooo_256_1024_off","1956","39120","0.03912","1954","1954","500000","0","0","0","0","0","","255.885","99.955","25.351","25.268","25.569","25.351","129794048","123.78"
"high_conflict","ooo_256_1024_off","500002","10000040","10.00004","500000","500000","500000","0","0","0","0","0","","1","0.391","16.34","16.776","16.496","16.496","129687552","123.68"
"interleaved_dependency","ooo_256_1024_off","1956","39120","0.03912","1954","1954","500000","0","0","0","0","0","","255.885","99.955","24.6","24.1","24.052","24.1","129794048","123.78"
"cancellation_rich","ooo_256_1024_off","300002","6000040","6.00004","300000","200000","400000","0","100000","0","0","0","","2","0.781","14.422","14.143","14.026","14.143","129695744","123.69"
"strong_dependency","ooo_256_1024_off","500002","10000040","10.00004","500000","500000","500000","0","0","0","0","0","","1","0.391","16.312","15.978","15.539","15.978","129732608","123.72"
"high_parallel","ooo_256_1024_on","1956","39120","0.03912","1954","1954","500000","0","0","0","0","0","","255.885","99.955","46.444","45.172","44.219","45.172","129712128","123.7"
"random","ooo_256_1024_on","1956","39120","0.03912","1954","1954","500000","0","0","0","0","0","","255.885","99.955","46.876","46.281","45.976","46.281","129708032","123.7"
"high_conflict","ooo_256_1024_on","2","40","4E-05","0","0","0","500000","0","0","0","0","","0","0","9.628","9.486","9.323","9.486","129740800","123.73"
"interleaved_dependency","ooo_256_1024_on","1956","39120","0.03912","1954","1954","500000","0","0","0","0","0","","255.885","99.955","43.184","44.291","43.614","43.614","129724416","123.71"
"cancellation_rich","ooo_256_1024_on","2","40","4E-05","0","0","0","400000","0","100000","0","0","","0","0","9.645","9.063","9.086","9.086","129691648","123.68"
"strong_dependency","ooo_256_1024_on","500002","10000040","10.00004","500000","500000","500000","0","0","0","0","0","","1","0.391","6190.385","6297.333","6266.929","6266.929","131235840","125.16"
