"WIDTH","MOD","N_MAX","COUNT_WIDTH","VALUE_BYTES","Icarus","ICARUS_TOTAL","ICARUS_PASS","ICARUS_FAIL","REGRESSION","LUT","FF","CARRY4","LUT_LB","PNR_RUN","PACKING","Type_L","MinPlacer","PLACE","ROUTE","TIMING_STAGE","FMAX_MHZ","POST_LUT_PACKING_MHZ","POST_PLACEMENT_MHZ","POST_ROUTE_MHZ","WNS_NS","TNS_NS","BITSTREAM_FILE_COUNT","OBSERVATION_ROLE","RTL_SHA256","FORGE_LOG_SHA256","SOURCE_ARTIFACT"
"5","31","1","1","1","PASS 22/22","22","22","0","short","408","122","12","102","NO","NOT_RUN",,"NOT_RUN","NOT_RUN","NOT_RUN","NOT_RUN",,,,,,,,"ADDITIONAL_SYNTH_OBSERVATION","7e16c34d6bcf86ec8313b61ce0d2bb99b5acf41f05416d15f3194241e887d73b",,"w05/n001/config.json;w05/n001/resource_summary.json;w05/n001/icarus.log"
"5","31","3","2","1","PASS 22/22","22","22","0","short","448","124","15","112","NO","NOT_RUN",,"NOT_RUN","NOT_RUN","NOT_RUN","NOT_RUN",,,,,,,,"ADDITIONAL_SYNTH_OBSERVATION","7e16c34d6bcf86ec8313b61ce0d2bb99b5acf41f05416d15f3194241e887d73b",,"w05/n003/config.json;w05/n003/resource_summary.json;w05/n003/icarus.log"
"5","31","7","3","1","PASS 22/22","22","22","0","short","436","126","18","109","NO","NOT_RUN",,"NOT_RUN","NOT_RUN","NOT_RUN","NOT_RUN",,,,,,,,"ADDITIONAL_SYNTH_OBSERVATION","7e16c34d6bcf86ec8313b61ce0d2bb99b5acf41f05416d15f3194241e887d73b",,"w05/n007/config.json;w05/n007/resource_summary.json;w05/n007/icarus.log"
"5","31","15","4","1","PASS 22/22","22","22","0","short","457","128","20","115","YES","VERIFIED","121","SUCCESS","PLACE_FIT","PNR_COMPLETE","POST_ROUTE","51.634","12.837","53.743","51.634",,,"0","SHRUNK_FIT","7e16c34d6bcf86ec8313b61ce0d2bb99b5acf41f05416d15f3194241e887d73b","8c14fc1d7491cbba347e5a062bad4b525253546e37dbae780dad3a74c37f3ca6","w05/n015/config.json;w05/n015/resource_summary.json;w05/n015/icarus.log;w05/n015/pnr_project/forge_bitstream_log.txt;w05/n015/pnr_project/automation_result.json"
"5","31","29","5","1","PASS 22/22","22","22","0","short","441","130","25","111","YES","VERIFIED","109","SUCCESS","PLACE_FIT","PNR_COMPLETE","POST_ROUTE","54.174","12.984","56.051","54.174",,,"0","INTERRUPTED_RUN_OBSERVED","7e16c34d6bcf86ec8313b61ce0d2bb99b5acf41f05416d15f3194241e887d73b","a9b05329940cbd674d9350648198c99d08d3a741b64fd1ddc4e1a04294ccdaf8","w05/n029/config.json;w05/n029/resource_summary.json;w05/n029/icarus.log;w05/n029/pnr_project/forge_bitstream_log.txt;w05/n029/pnr_project/automation_result.json"
"5","31","30","5","1","PASS 42/42","42","42","0","full","452","130","25","113","YES","VERIFIED","149","FAIL","PLACE_FAIL","ROUTE_INCOMPLETE","POST_LUT_PACKING_ESTIMATE","12.02","12.02",,,,,"0","MAX_WORLD_FAIL","7e16c34d6bcf86ec8313b61ce0d2bb99b5acf41f05416d15f3194241e887d73b","0da5413180787825f259416a8f478974c3484d44ee4897859006b043a3bd8c00","w05/n030/config.json;w05/n030/resource_summary.json;w05/n030/icarus.log;w05/n030/pnr_project/forge_bitstream_log.txt;w05/n030/pnr_project/automation_result.json"
"6","61","60","6","1","PASS 42/42","42","42","0","full","508","141","25","127","YES","VERIFIED","138","SUCCESS","PLACE_FIT","PNR_COMPLETE","POST_ROUTE","48.757","12.966","54.732","48.757",,,"0","MAX_WORLD_FIT","7e16c34d6bcf86ec8313b61ce0d2bb99b5acf41f05416d15f3194241e887d73b","9c7742dfd988b1ed4588737e95310fb20631413ffbaf39bf20415e4a49580ee9","w06/n060/config.json;w06/n060/resource_summary.json;w06/n060/icarus.log;w06/n060/pnr_project/forge_bitstream_log.txt;w06/n060/pnr_project/automation_result.json"
"7","127","1","1","1","PASS 22/22","22","22","0","short","453","140","12","114","NO","NOT_RUN",,"NOT_RUN","NOT_RUN","NOT_RUN","NOT_RUN",,,,,,,,"ADDITIONAL_SYNTH_OBSERVATION","7e16c34d6bcf86ec8313b61ce0d2bb99b5acf41f05416d15f3194241e887d73b",,"w07/n001/config.json;w07/n001/resource_summary.json;w07/n001/icarus.log"
"7","127","3","2","1","PASS 22/22","22","22","0","short","497","142","15","125","NO","NOT_RUN",,"NOT_RUN","NOT_RUN","NOT_RUN","NOT_RUN",,,,,,,,"ADDITIONAL_SYNTH_OBSERVATION","7e16c34d6bcf86ec8313b61ce0d2bb99b5acf41f05416d15f3194241e887d73b",,"w07/n003/config.json;w07/n003/resource_summary.json;w07/n003/icarus.log"
"7","127","7","3","1","PASS 22/22","22","22","0","short","485","144","18","122","NO","NOT_RUN",,"NOT_RUN","NOT_RUN","NOT_RUN","NOT_RUN",,,,,,,,"ADDITIONAL_SYNTH_OBSERVATION","7e16c34d6bcf86ec8313b61ce0d2bb99b5acf41f05416d15f3194241e887d73b",,"w07/n007/config.json;w07/n007/resource_summary.json;w07/n007/icarus.log"
