checkpoint,main_sha256,lut_total,ff_total,CARRY4,MUXF7,MUXF8,launch_sites,top_ff_direct_unique_lut_mux_drivers
initial_w8,1201923aa46c793243323d9b6e16348f9734bd45a48c72208798db32992ebda0,680,224,33,0,0,1,128
cleanup1_w8,2f7f4d2d86d72ab5f223d7179763880d5c783c6b57ac1c235e7d4ac56511a6b3,696,200,29,0,0,1,103
cleanup2_w8,c23b5caa22106339a09327c2cd0b0c319b86538afec5cca4d70ce8943add080c,654,200,31,0,0,1,104
cleanup3_w8,b0e574999e15bb8e8014bb6c6954bf8adc4d4b365fd8b95749a57b0f04bd192e,606,183,31,0,0,1,87
cleanup4_w8,b18e78a34ac6266397f0d22b3352cf7c4a9b0fc9244ab5db762f74ccd2a4673f,571,167,31,0,0,1,79
cleanup5_w8,d1522a00833302b0616fd44ca59cf0709ef5284e571c04238c0ce9b4de623214,597,168,28,8,4,1,79
cleanup6_w8,b322d5428e7a7ecde9b2d156e48c14f3419ebdaac3353f070255fec8a588b58e,594,164,31,1,0,1,76
cleanup7_w8,e17cae8a20608021eeb50329e96e2ccbfd14f67ede50522a468c02b722fde347,600,169,31,0,0,1,79
cleanup8_w8,cbc23f022f5a05d7ff0058632fcd1713460133a4281c905c2cd685404d213457,580,167,31,0,0,1,79
cleanup9_w8,9ebb233e41ca8b15729746459146dc9a2944c2952b263c65eac06e157364d032,563,164,31,0,0,1,80
cleanup10_w8,2de4c0c8b034dc21d06aa3e7004f5848eb6f387e8d1d6d22a069ee121b00fc23,569,163,31,0,0,1,79
cleanup11_w8,69fcceeaa931116e64b979af787ac4f49498ec5beb17e7f010b33c4b4b4c4553,574,163,31,0,0,1,79
cleanup12_w8,5c0cbfd3d131add63dec29bd55478108f8facf040a1e29bad73c93d61e98f248,561,164,31,2,0,1,80
cleanup13_w8,178bf6589d354fffbbedcb601800643f79b8bf628dcad91c087fdc7482436d58,601,163,31,2,1,1,80
cleanup14_w8,e910abcf293fc37fbb071eef5cfad4eb91b0047263b512707278360032716fc6,557,163,31,0,0,1,80
